imdb_id,name,genre,dataset_genre,topic1,topic2,topic3,topic4,topic5
tt0120586,American History X,Drama,drama,"['norton', 'edward', 'derek', 'history', 'american', 'good', 'racism', 'brother', 'white', 'film']","['derek', 'life', 'hate', 'man', 'brother', 'way', 'people', 'family', 'racist', 'come']","['derek', 'black', 'character', 'movie', 'scene', 'great', 'american', 'performance', 'make', 'norton']","['norton', 'life', 'edward', 'derek', 'character', 'performance', 'brother', 'make', 'people', 'message']","['make', 'character', 'end', 'kid', 'edward', 'norton', 'black', 'white', 'like', 'time']"
tt0120815,Saving Private Ryan,"Drama, War",drama,"['ryan', 'war', 'private', 'make', 'soldier', 'save', 'men', 'german', 'like', 'battle']","['war', 'ryan', 'watch', 'save', 'private', 'spielberg', 'best', 'soldier', 'battle', 'great']","['good', 'american', 'think', 'really', 'little', 'like', 'focus', 'spielberg', 'flaw', 'brother']","['war', 'like', 'history', 'spielberg', 'german', 'say', 'make', 'time', 'scene', 'good']","['german', 'war', 'soldier', 'make', 'man', 'great', 'best', 'life', 'spielberg', 'ryan']"
tt0137523,Fight Club,Drama,drama,"['fight', 'club', 'make', 'tyler', 'message', 'life', 'pitt', 'like', 'people', 'time']","['book', 'pitt', 'watch', 'great', 'fight', 'perfect', 'norton', 'society', 'club', 'twist']","['best', 'life', 'watch', 'performance', 'book', 'feel', 'film', 'movie', 'young', 'definitely']","['fight', 'club', 'present', 'say', 'people', 'like', 'film', 'edward', 'im', 'time']","['like', 'time', 'half', 'brad', 'pitt', 'youll', 'way', 'book', 'read', 'movie']"
tt2582802,Whiplash,"Drama, Music",drama,"['fletcher', 'neyman', 'play', 'chazelle', 'drum', 'student', 'jazz', 'whiplash', 'music', 'character']","['simmons', 'andrew', 'time', 'thing', 'teller', 'fletcher', 'great', 'say', 'scene', 'act']","['watch', 'character', 'whiplash', 'simmons', 'century', 'music', 'fletcher', 'musician', 'form', 'jk']","['andrew', 'music', 'simmons', 'teller', 'fletcher', 'great', 'like', 'performance', 'year', 'best']","['make', 'like', 'fletcher', 'jazz', 'student', 'say', 'st', 'school', 'year', 'way']"
tt0012349,The Kid,"Comedy, Drama, Family",family,"['chaplin', 'kid', 'make', 'coogan', 'chaplain', 'time', 'tramp', 'little', 'emotional', 'look']","['chaplin', 'kid', 'make', 'tramp', 'great', 'child', 'story', 'coogan', 'charlie', 'jackie']","['chaplin', 'kid', 'make', 'coogan', 'charlie', 'comedy', 'plot', 'jackie', 'silent', 'star']","['chaplin', 'kid', 'make', 'coogan', 'comedy', 'picture', 'tramp', 'child', 'look', 'feature']","['little', 'slapstick', 'fight', 'charlie', 'time', 'boy', 'life', 'look', 'screen', 'dramatic']"
tt0118849,Children of Heaven,"Drama, Family, Sport",family,"['child', 'life', 'film', 'ali', 'heaven', 'family', 'like', 'love', 'sister', 'great']","['make', 'child', 'ali', 'actor', 'heaven', 'shoe', 'sister', 'family', 'majid', 'story']","['child', 'culture', 'heaven', 'shoe', 'iran', 'film', 'ali', 'viewer', 'western', 'sister']","['ali', 'shoe', 'child', 'zhara', 'sister', 'school', 'run', 'watch', 'lose', 'simple']","['child', 'feel', 'american', 'iranian', 'review', 'little', 'love', 'kid', 'make', 'word']"
tt0129167,The Iron Giant,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",family,"['giant', 'iron', 'movie', 'bird', 'animation', 'book', 'like', 'moral', 'base', 'watch']","['giant', 'iron', 'animation', 'animate', 'character', 'time', 'movie', 'like', 'make', 'best']","['giant', 'love', 'iron', 'animate', 'adult', 'like', 'look', 'voice', 'say', 'kid']","['giant', 'film', 'iron', 'animate', 'character', 'robot', 'hogarth', 'young', 'voiced', 'human']","['like', 'giant', 'animation', 'animate', 'kid', 'bird', 'hogarth', 'film', 'iron', 'come']"
tt0198781,"Monsters, Inc.","Animation, Adventure, Comedy, Family, Fantasy",family,"['monster', 'story', 'character', 'mike', 'child', 'pixar', 'adult', 'creature', 'toy', 'kid']","['monster', 'great', 'year', 'animate', 'movie', 'crystal', 'brought', 'feature', 'bird', 'brilliant']","['monster', 'child', 'mike', 'character', 'make', 'story', 'world', 'boo', 'animation', 'crystal']","['monster', 'child', 'pixar', 'story', 'character', 'toy', 'disney', 'animate', 'know', 'world']","['goodman', 'kid', 'john', 'crystal', 'brilliant', 'way', 'billy', 'movie', 'time', 'pixar']"
tt0317705,The Incredibles,"Animation, Action, Adventure, Family",family,"['character', 'like', 'incredibles', 'make', 'kid', 'animate', 'child', 'time', 'family', 'story']","['mr', 'incredible', 'incredibles', 'super', 'best', 'family', 'day', 'power', 'bob', 'bird']","['world', 'fold', 'bond', 'bob', 'level', 'guy', 'kid', 'cartoon', 'helen', 'real']","['incredibles', 'incredible', 'family', 'mr', 'animate', 'animation', 'character', 'bird', 'great', 'really']","['story', 'pixar', 'character', 'incredibles', 'great', 'good', 'animation', 'animate', 'like', 'look']"
tt0347149,Howl's Moving Castle,"Animation, Adventure, Family, Fantasy",family,"['howl', 'castle', 'story', 'miyazaki', 'sophie', 'character', 'jones', 'book', 'work', 'great']","['howl', 'look', 'miyazaki', 'old', 'sophie', 'great', 'away', 'time', 'story', 'young']","['character', 'make', 'miyazakis', 'world', 'miyazaki', 'howl', 'film', 'way', 'spirit', 'stun']","['howl', 'fan', 'miyazaki', 'castle', 'jones', 'character', 'best', 'sophie', 'movie', 'especially']","['character', 'thing', 'howl', 'like', 'old', 'watch', 'feel', 'time', 'come', 'sophie']"
