imdb_id,name,genre,dataset_genre,topic1,topic2,topic3,topic4,topic5
tt0068646,The Godfather,"Crime, Drama",crime,"['amaze', 'life', 'character', 'godfather', 'perfect', 'music', 'im', 'make', 'ton', 'think']","['great', 'family', 'watch', 'time', 'performance', 'godfather', 'year', 'like', 'michael', 'excellent']","['best', 'michael', 'family', 'love', 'coppola', 'pacino', 'second', 'film', 'actor', 'leader']","['godfather', 'filmmaking', 'craft', 'outstanding', 'character', 'isnt', 'people', 'gangster', 'vito', 'believe']","['inside', 'time', 'business', 'corleone', 'character', 'masterpiece', 'begin', 'chance', 'kinda', 'hear']"
tt0071562,The Godfather: Part II,"Crime, Drama",crime,"['michael', 'coppola', 'corleone', 'robert', 'niro', 'performance', 'ii', 'godfather', 'francis', 'second']","['tell', 'love', 'music', 'time', 'opinion', 'act', 'cinematography', 'fine', 'scene', 'watch']","['michael', 'corleone', 'oscar', 'amaze', 'family', 'original', 'story', 'godfather', 'vito', 'performance']","['favorite', 'perfect', 'sequel', 'great', 'amaze', 'good', 'series', 'backstory', 'godfather', 'everybody']","['sequel', 'vito', 'michael', 'actor', 'man', 'watch', 'godfather', 'movement', 'original', 'fanucci']"
tt0102926,The Silence of the Lambs,"Crime, Drama, Thriller",crime,"['psychopath', 'young', 'information', 'woman', 'script', 'partially', 'surprising', 'night', 'establish', 'west']","['clarice', 'buffalo', 'hannibal', 'chilton', 'intelligence', 'regard', 'fbi', 'fight', 'victim', 'starling']","['think', 'love', 'hopkins', 'make', 'silence', 'foster', 'thriller', 'demme', 'great', 'killer']","['hopkins', 'lecter', 'starling', 'silence', 'lamb', 'foster', 'performance', 'make', 'film', 'best']","['lecter', 'clarice', 'hopkins', 'anthony', 'performance', 'history', 'act', 'character', 'hannibal', 'foster']"
tt0110912,Pulp Fiction,"Crime, Drama",crime,"['time', 'big', 'hold', 'screen', 'equal', 'pace', 'superlative', 'unconventional', 'ripoffs', 'clue']","['story', 'really', 'like', 'movie', 'great', 'character', 'tarantino', 'real', 'make', 'bad']","['context', 'far', 'remember', 'best', 'watch', 'want', 'concerned', 'pulp', 'make', 'people']","['think', 'character', 'actually', 'people', 'tarantino', 'film', 'come', 'dialogue', 'fiction', 'pulp']","['make', 'marsellus', 'fiction', 'vincent', 'jules', 'oscar', 'tarantino', 'pulp', 'movie', 'dont']"
tt0114369,Se7en,"Crime, Drama, Mystery, Thriller",crime,"['doe', 'somerset', 'john', 'detective', 'innovative', 'story', 'id', 'intelligent', 'start', 'think']","['somerset', 'film', 'doe', 'scene', 'horrible', 'cop', 'audience', 'story', 'world', 'time']","['world', 'wife', 'paltrow', 'freeman', 'killer', 'pitt', 'burnt', 'cop', 'performance', 'spacey']","['seven', 'really', 'chill', 'like', 'character', 'make', 'end', 'film', 'cop', 'dark']","['excellent', 'mood', 'somerset', 'perfect', 'shadow', 'female', 'killer', 'good', 'murder', 'meet']"
tt0114814,The Usual Suspects,"Crime, Mystery, Thriller",crime,"['twist', 'end', 'like', 'plot', 'know', 'point', 'make', 'story', 'time', 'minute']","['great', 'superb', 'chazz', 'crook', 'delivers', 'plan', 'usual', 'watch', 'kevin', 'palminteri']","['verbal', 'kujan', 'hour', 'time', 'keaton', 'receive', 'movie', 'say', 'bartel', 'greene']","['great', 'performance', 'story', 'role', 'best', 'end', 'film', 'suspect', 'usual', 'predict']","['time', 'film', 'watch', 'singer', 'try', 'mystery', 'second', 'genre', 'director', 'minute']"
tt0120689,The Green Mile,"Crime, Drama, Fantasy, Mystery",crime,"['make', 'character', 'think', 'choice', 'time', 'recommend', 'story', 'song', 'doesnt', 'tearjerker']","['book', 'mile', 'green', 'story', 'great', 'read', 'hope', 'king', 'version', 'redemption']","['masterpiece', 'sensational', 'absolutely', 'watch', 'journey', 'mind', 'make', 'pillow', 'shawshank', 'overall']","['enjoy', 'watch', 'like', 'forget', 'life', 'possibly', 'emotion', 'personaly', 'experience', 'atouching']","['mile', 'green', 'cast', 'michael', 'hank', 'performance', 'role', 'long', 'tom', 'guard']"
tt0317248,City of God,"Crime, Drama",crime,"['come', 'steal', 'really', 'ear', 'character', 'flaw', 'suppose', 'express', 'condition', 'feel']","['gang', 'lil', 'chance', 'rocket', 'year', 'street', 'saw', 'shock', 'raw', 'violence']","['great', 'enjoy', 'city', 'god', 'director', 'say', 'favelas', 'complain', 'watch', 'splendid']","['city', 'god', 'character', 'life', 'kid', 'deus', 'recommend', 'cidade', 'rio', 'drug']","['deus', 'cidade', 'film', 'story', 'city', 'list', 'character', 'direction', 'violence', 'god']"
tt0407887,The Departed,"Crime, Drama, Thriller",crime,"['scorsese', 'depart', 'make', 'original', 'best', 'let', 'year', 'story', 'turn', 'twist']","['depart', 'infernal', 'affair', 'die', 'dao', 'like', 'jian', 'really', 'character', 'curse']","['scorsese', 'original', 'think', 'say', 'affair', 'infernal', 'fbi', 'depart', 'right', 'police']","['misdirectionthe', 'provocative', 'twist', 'buy', 'talent', 'grave', 'wrong', 'remove', 'unlike', 'promising']","['best', 'performance', 'scorsese', 'story', 'fine', 'nominate', 'good', 'moment', 'deliver', 'say']"
tt3417422,Drishyam,"Crime, Drama, Thriller",crime,"['movie', 'world', 'indian', 'family', 'malayalam', 'class', 'message', 'drama', 'brilliance', 'half']","['amaze', 'say', 'watch', 'word', 'awesome', 'masterpiece', 'kutty', 'george', 'thrill', 'experience']","['way', 'malayalam', 'really', 'surprising', 'act', 'mr', 'language', 'love', 'know', 'wont']","['role', 'joseph', 'character', 'look', 'year', 'time', 'kalabhavan', 'story', 'make', 'shajohn']","['role', 'kerala', 'drishyam', 'outstanding', 'able', 'stand', 'really', 'cinema', 'understand', 'jeethu']"
